Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Soul Theft	combatinkowloon	soul_theft_cik_400	State	Eaters of the Lotus	State	2	{lot}		0	0	0	Fixed	soul theft	Play on a Character. If subject is smoked due to damage (combat or non-combat) and you did not control subject, return it to play under your control. It gains the designator Undead.	
Spit and Baling Wire (CIK)	combatinkowloon	spit_and_baling_wire_cik_400	Event	High Tech	Event	0	{tek}		0	0	0	Fixed	spit baling wire	Choose a Vehicle, Weapon or {tek} State in your smoked pile and a Character you control that is a legal subject for that State :: Return the chosen State to play on that Character. At the end of the turn, toast that State, even if it is in your smoked pile.	
Stone Dolmens (CIK)	combatinkowloon	stone_dolmens_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	stone dolmen	Turn and choose a State on a card you own :: Smoke that State.	
Student of the Dragon	combatinkowloon	student_of_the_dragon_cik_400	Character	Dragons	Martial Artist	1		{dra}	1	0	0	Fixed	student of the dragon martial artist	Independent. If a card at this location is attacked, Student of the Dragon must be declared as an interceptor.	
Superior Kung Fu (CIK)	combatinkowloon	superior_kung_fu_cik_400	Event	Guiding Hand	Event	0	{han}{han}		0	0	0	Fixed	superior kung fu	Not cumulative. Target a Character that is about to enter combat with a Character with a higher Fighting :: Target gains +2 Fighting until the end of the turn.	
Taiko Drummer (CIK)	combatinkowloon	taiko_drummer_cik_400	Character	Guiding Hand	Martial Arts Student	2	{han}	{han}{chi}	2	0	0	Fixed	taiko drummer martial art student	Sacrifice :: All your Characters gain +X Fighting until the end of the turn. X = the number of Feng Shui Sites you control minus the number of cards in your Burned for Victory pile.	
Tail of the Lizard	combatinkowloon	tail_of_the_lizard_cik_400	Character	Ascended	Transformed Official	2		{asc}{chi}	2	0	0	Fixed	tail of the lizard transformed official	Tactics. When Tail of the Lizard uses Tactics before combat against an opponent's card, it inflicts 1 non-combat damage on that card.	
Tears of the Crocodile	combatinkowloon	tears_of_the_crocodile_cik_400	Character	Ascended	Transformed Killer	4	{asc}{asc}	{asc}{chi}	6	0	0	Fixed	tear crocodile transformed killer	Stealth. Pay 1 Power :: Tears of the Crocodile gains Ambush until the end of the turn.	
Tech Squad	combatinkowloon	tech_squad_cik_400	Character	Dragons	Hardware Support	2		{dra}{tek}	2	0	0	Fixed	tech squad hardware support	Independent. +1 Fighting while the subject of a {tek} State.	
Temple Guards	combatinkowloon	temple_guards_cik_400	Character	Guiding Hand	Kung Fu Warriors	2		{han}{chi}	2	0	0	Fixed	temple guard kung fu warrior	Turn and maintain a Garden, Temple or Sanctuary Site that you control :: This card gains either +1 Fighting or Superleap.	
The Great Wastes	combatinkowloon	the_great_wastes_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	4	Fixed	great waste	Unique. Turn and target a card :: Turn target.	
The Iron Monkey (CIK)	combatinkowloon	the_iron_monkey_cik_400	Character	Guiding Hand	Masked Hero	4	{han}{han}	{han}{chi}	5	0	0	Fixed	iron monkey masked hero	Unique. Superleap. When The Iron Monkey inflicts combat damage on the target of his attack, steal half of his target's controller's Power (round down) and give that Power to any player you choose.	
The Iron Palace (CIK)	combatinkowloon	the_iron_palace_cik_400	Site	Feng Shui Site	Secret Feng Shui Site	0			0	1	7	Fixed	iron palace secret	Unique. Turn and maintain and target a Character :: Target gains Toughness: 1.	
The Jade Dragon (CIK)	combatinkowloon	the_jade_dragon_cik_400	State	Guiding Hand	State	3	{han}		0	0	0	Fixed	jade dragon	Unique. Schtick. Play on a front-row Site. This card generates 2 Power during your Establishing Shot. Subject cannot be burned and gains Toughness: 1.	
The Real Deal	combatinkowloon	the_real_deal_cik_400	State	Unaligned	State	2			0	0	0	Promo	real deal	Subject Character gains +3 Fighting and is not affected by effects generated by Characters, Sites or Edges. If subject is Unique, Events targeting subject cost an additional Power to play.	
The She-Wolf (CIK)	combatinkowloon	the_she-wolf_cik_400	Character	Ascended	Transformed Animal Warlord	5	{asc}{asc}{asc}	{asc}	8	0	0	Fixed	she wolf transformed animal warlord	Unique. Uncopyable. Up to two unturned Characters you control may attack with The She-Wolf without turning.	
The Twisted Gardens (CIK)	combatinkowloon	the_twisted_gardens_cik_400	Site	Eaters of the Lotus	Netherworld Demon Site	2	{lot}{lot}	{lot}	0	1	6	Fixed	twisted garden netherworld demon	Unique. Toughness: 1. All Demon, Ghost and Spirit Characters you control gain +1 combat damage.	
Treasure Cache	combatinkowloon	treasure_cache_cik_400	State	Ascended	Ancient State	0	{asc}{asc}		0	0	0	Fixed	treasure cache ancient	Schtick. Limited. Play on a front-row Site. Treasure Cache inflicts1 non-combat damage on subject when it enters play. Turn :: Add a counter to this card. When there are three or more counters on this card, sacrifice it :: Gain Power equal to the number of players.	
Undead Horrors	combatinkowloon	undead_horrors_cik_400	Character	Eaters of the Lotus	Decaying Minions	1		{lot}	1	0	0	Fixed	undead horror decaying minion	"When another {lot} Character you control is smoked during your Main Shot, you may return this card to play from your smoked pile if you have not already returned an """"Undead Horrors"""" to play this turn."	
Underworld Coronation (CIK)	combatinkowloon	underworld_coronation_cik_400	Event	Eaters of the Lotus	Event	3	{lot}{lot}{lot}{lot}		0	0	0	Fixed	underworld coronation	One-Shot. Target a Character :: Smoke all Characters except target.	
Vale of Tears	combatinkowloon	vale_of_tears_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	vale tear	Once per turn when an opponent damages this Site, draw three cards, then discard up to three cards. When an opponent burns this Site, draw three cards, then discard up to three cards.	
Venerable Apothecary	combatinkowloon	venerable_apothecary_cik_400	Site	Guiding Hand	Hong Kong Site	1	{han}{chi}	{han}{chi}	0	1	6	Fixed	venerable apothecary hong kong	Once during an opponent's Main Shot, he or she may place a counter on this card :: That opponent heals up to two damage total from cards he or she controls. Turn and remove X counters :: Gain X Power.	
Violet Meditation (CIK)	combatinkowloon	violet_meditation_cik_400	Event	Chi	Event	0	{chi}		0	0	0	Fixed	violet meditation	Play at the start of your turn and target an opponent :: Generate X Power. X = the number of Edges plus the number of Power-generating Sites controlled by the target, minus the number of cards in your burned-for-victory pile. No other card you control or play generates Power during this Establishing Shot.	
Walk on the Wild Side	combatinkowloon	walk_on_the_wild_side_cik_400	State	Ascended	State	1	{asc}{asc}		0	0	0	Fixed	walk wild side	Play on a Transformed or Lodge Character. All damage inflicted on subject by {mag} cards is increased by 1. While attacking, subject gains +2 Fighting and Toughness: 1.	
Walking Corpses (CIK)	combatinkowloon	walking_corpses_cik_400	Character	Eaters of the Lotus	Undead Servitors	2	{lot}	{lot}	4	0	0	Fixed	walking corpse undead servitor	Cannot turn to change location. Damage cannot be removed from Walking Corpses.	
Wall of a Thousand Eyes (CIK)	combatinkowloon	wall_of_a_thousand_eyes_cik_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	7	Fixed	wall thousand eye netherworld	Characters attacking Sites you control cannot use Ambush, Stealth, Superleap, or Tactics.	
Waterfall Sanctuary (CIK)	combatinkowloon	waterfall_sanctuary_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	waterfall sanctuary	Turn and choose a State on a Character at this location :: Smoke that State. If you controlled the subject Character at that time, you may draw a card.	
Whirlpool of Blood (CIK)	combatinkowloon	whirlpool_of_blood_cik_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	5	Fixed	whirlpool blood netherworld	Turn :: Cancel an effect generated or maintained by turning a Feng Shui Site.	
Wolf Clan Hunters	combatinkowloon	wolf_clan_hunters_cik_400	Character	Ascended	Transformed Animals	2		{asc}	2	0	0	Fixed	wolf clan hunter transformed animal	+X Fighting while attacking. X= The number of other attacking Transformed Characters.	
Wolf Den	combatinkowloon	wolf_den_cik_400	Site	Ascended	Site	2	{asc}	{asc}	0	1	8	Fixed	wolf den	Toughness: 2 against {mag} cards. When this card enters play you may Reload one or two cards.	
Wrench Slinger	combatinkowloon	wrench_slinger_cik_400	Character	Dragons	Scrappy Mechanic	1	{dra}	{dra}{tek}	1	0	0	Fixed	wrench slinger scrappy mechanic	Reduce to 0 all damage inflicted on this card by Vehicle or {tek} States. Turn and choose a Vehicle or {tek} State in any player's smoked pile :: Return that State to its owner's hand.	
Xin Ji Yang (CIK)	combatinkowloon	xin_ji_yang_cik_400	Character	Eaters of the Lotus	Underworld Queen	4	{lot}{lot}{lot}{lot}{mag}	{lot}{mag}{mag}	7	0	0	Fixed	xin ji yang underworld queen	Unique. Regenerate. When an interceptor is declared against her, inflict X non-combat damage on it. X = 1 plus the number of Demon and Undead cards in play.	
You Xia, the Avenger	combatinkowloon	you_xia_the_avenger_cik_400	Character	Dragons	Heroic Vigilante	4	{dra}{dra}	{dra}{tek}	6	0	0	Fixed	you xia avenger heroic vigilante	Unique. Not affected by other Characters' Ambush, Stealth, or Superleap. Once per turn, you may play a Vehicle, Weapon or {tek} State at -1 cost on a Character that is not already the subject of a State.	
Youn Wha	combatinkowloon	youn_wha_cik_400	Character	Guiding Hand	Kung Fu Master	3	{han}{han}{han}	{han}{chi}	4	0	0	Fixed	youn wha kung fu master	Unique. Whenever an opponent's Character enters combat with a Site at this location, inflict 1 non-combat damage on that Character. Turn and maintain :: All {chi} Characters you control gain +1 Fighting.	
